source_dataset,building,label_mode,manipulation,level,corrupt_where,split_mode,model,accuracy,macro_precision,macro_recall,macro_f1,runtime_s
LBNL_DataFDD,MZVAV_1,raw,drift,0.01,test,stratified,LSTM,0.81494,0.7698970520486436,0.7369909396933778,0.7501260812809099,0.10177969932556152
LBNL_DataFDD,MZVAV_1,raw,drift,0.01,test,stratified,CNN-LSTM,0.83214,0.8043401527731247,0.7432280029036163,0.7645098697173931,0.07644987106323242
LBNL_DataFDD,MZVAV_1,raw,drift,0.01,test,stratified,Informer,0.84496,0.8015675735227532,0.8100976443066047,0.8056187967032812,0.4418303966522217
LBNL_DataFDD,MZVAV_1,raw,drift,0.05,test,stratified,LinearSVM,0.7118055555555556,0.6507579452529482,0.6690197712364079,0.6565853026970518,0.0011224746704101562
LBNL_DataFDD,MZVAV_1,raw,drift,0.05,test,stratified,RF,0.7788433274544385,0.7247429258074158,0.6611707407659423,0.6778012778051801,0.7323412895202637
LBNL_DataFDD,MZVAV_1,raw,drift,0.05,test,stratified,XGBoost,0.7699331275720165,0.7054648523286269,0.6828359097174586,0.6917665872875525,0.30666327476501465
LBNL_DataFDD,MZVAV_1,raw,drift,0.05,test,stratified,LSTM,0.75384,0.6917815237793896,0.704117413171736,0.6970250303839487,0.10263347625732422
LBNL_DataFDD,MZVAV_1,raw,drift,0.05,test,stratified,CNN-LSTM,0.79782,0.7487914895739302,0.7020513725030708,0.7181355383839156,0.07077860832214355
LBNL_DataFDD,MZVAV_1,raw,drift,0.05,test,stratified,Informer,0.72434,0.6662149389204002,0.6884104831203126,0.6730909665510695,0.4447319507598877
LBNL_DataFDD,MZVAV_1,raw,drift,0.1,test,stratified,LinearSVM,0.7458480305702528,0.6746591519266218,0.6673112612262392,0.670644766827307,0.0010237693786621094
LBNL_DataFDD,MZVAV_1,raw,drift,0.1,test,stratified,RF,0.7324919165196943,0.6450152130599403,0.6111167255451475,0.6194676473031446,0.5806252956390381
LBNL_DataFDD,MZVAV_1,raw,drift,0.1,test,stratified,XGBoost,0.7342555849500294,0.6562408344273336,0.6430107257509303,0.64835469514086,0.3076803684234619
LBNL_DataFDD,MZVAV_1,raw,drift,0.1,test,stratified,LSTM,0.69066,0.6443166891587944,0.6733954889050491,0.647862671281155,0.10248064994812012
LBNL_DataFDD,MZVAV_1,raw,drift,0.1,test,stratified,CNN-LSTM,0.7536,0.6839036534042852,0.6748433618647685,0.6789021864250704,0.07444572448730469
LBNL_DataFDD,MZVAV_1,raw,drift,0.1,test,stratified,Informer,0.71226,0.6539081654644254,0.6755405066821625,0.6601112457050418,0.4421815872192383
LBNL_DataFDD,MZVAV_1,raw,bias,0.01,test,stratified,LinearSVM,0.6975859788359788,0.6483001561987883,0.6758401726058147,0.6530021623499029,0.0019099712371826172
LBNL_DataFDD,MZVAV_1,raw,bias,0.01,test,stratified,RF,0.8078703703703703,0.777034189696796,0.696893306184176,0.719213317565224,0.8176846504211426
LBNL_DataFDD,MZVAV_1,raw,bias,0.01,test,stratified,XGBoost,0.7973251028806584,0.7437158787318321,0.7228504116343746,0.7316886505062128,0.34113383293151855
LBNL_DataFDD,MZVAV_1,raw,bias,0.01,test,stratified,LSTM,0.7781,0.7179834748353614,0.7191564948556914,0.7185635898993741,0.09806013107299805
LBNL_DataFDD,MZVAV_1,raw,bias,0.01,test,stratified,CNN-LSTM,0.83032,0.8078098914714611,0.7331892257822823,0.7570986093342242,0.07087063789367676
LBNL_DataFDD,MZVAV_1,raw,bias,0.01,test,stratified,Informer,0.74768,0.6872433756333804,0.7044428361353149,0.6938996702383282,0.44254422187805176
LBNL_DataFDD,MZVAV_1,raw,bias,0.05,test,stratified,LinearSVM,0.7480526161081716,0.6773223460327575,0.6690569477527193,0.6727706677848544,0.0019328594207763672
LBNL_DataFDD,MZVAV_1,raw,bias,0.05,test,stratified,RF,0.7400242504409171,0.6564603459837801,0.6146205858639624,0.6240857162061999,0.6125640869140625
LBNL_DataFDD,MZVAV_1,raw,bias,0.05,test,stratified,XGBoost,0.7286706349206349,0.6460676145369795,0.6288577103761573,0.6351244382607887,0.3208427429199219
LBNL_DataFDD,MZVAV_1,raw,bias,0.05,test,stratified,LSTM,0.69996,0.6453213625221343,0.6693860668672362,0.6506917014941616,0.09788990020751953
LBNL_DataFDD,MZVAV_1,raw,bias,0.05,test,stratified,CNN-LSTM,0.75064,0.679178921589522,0.667646063659155,0.6726269387417091,0.0676276683807373
LBNL_DataFDD,MZVAV_1,raw,bias,0.05,test,stratified,Informer,0.68534,0.6276196818997474,0.6477719567593352,0.6320056646755295,0.4383864402770996
LBNL_DataFDD,MZVAV_1,raw,bias,0.1,test,stratified,LinearSVM,0.8005217519106408,0.797511272810232,0.6591352753100383,0.6819627055158125,0.0015673637390136719
LBNL_DataFDD,MZVAV_1,raw,bias,0.1,test,stratified,RF,0.6613756613756614,0.5524101990925822,0.5471556245228361,0.5485008818342152,0.454409122467041
LBNL_DataFDD,MZVAV_1,raw,bias,0.1,test,stratified,XGBoost,0.6709472369194591,0.5841559481858583,0.5850398927793459,0.5845804142929347,0.3058314323425293
LBNL_DataFDD,MZVAV_1,raw,bias,0.1,test,stratified,LSTM,0.53926,0.5928528062508962,0.6126976153186241,0.5320249011213836,0.09714555740356445
LBNL_DataFDD,MZVAV_1,raw,bias,0.1,test,stratified,CNN-LSTM,0.6705,0.6121305617701551,0.6302163389202804,0.6154151543033932,0.06818866729736328
LBNL_DataFDD,MZVAV_1,raw,bias,0.1,test,stratified,Informer,0.71762,0.6573198091254701,0.6770428582604626,0.6635960293268419,0.44849634170532227
LBNL_DataFDD,MZVAV_1,raw,missing,0.05,test,stratified,LinearSVM,0.6753564079952968,0.6331136725810694,0.6615859963277329,0.6344378598271438,0.0015103816986083984
LBNL_DataFDD,MZVAV_1,raw,missing,0.05,test,stratified,RF,0.947310405643739,0.9535052894471397,0.9118490406343598,0.9300342437904894,0.9712016582489014
LBNL_DataFDD,MZVAV_1,raw,missing,0.05,test,stratified,XGBoost,0.906305114638448,0.8863927613215811,0.8721983477034183,0.8788998186514281,0.3623037338256836
LBNL_DataFDD,MZVAV_1,raw,missing,0.05,test,stratified,LSTM,0.80938,0.7689609996525827,0.7127081504831705,0.7314952533406347,0.10033845901489258
LBNL_DataFDD,MZVAV_1,raw,missing,0.05,test,stratified,CNN-LSTM,0.7783,0.7168875823811944,0.7052791258639299,0.710484972647678,0.0750281810760498
LBNL_DataFDD,MZVAV_1,raw,missing,0.05,test,stratified,Informer,0.84344,0.7989051492263458,0.8167235986611485,0.8068344521369342,0.44218993186950684
LBNL_DataFDD,MZVAV_1,raw,missing,0.1,test,stratified,LinearSVM,0.6628637566137566,0.6210642417092062,0.6472987496986278,0.6211332302045521,0.0013549327850341797
LBNL_DataFDD,MZVAV_1,raw,missing,0.1,test,stratified,RF,0.9181180188124632,0.9257858892176223,0.8634294693857638,0.8883472708006566,0.9251730442047119
LBNL_DataFDD,MZVAV_1,raw,missing,0.1,test,stratified,XGBoost,0.8857473544973545,0.859612127129423,0.8455602005149911,0.8521585066670574,0.31896257400512695
LBNL_DataFDD,MZVAV_1,raw,missing,0.1,test,stratified,LSTM,0.78262,0.7252126331956312,0.6816865673624314,0.6961506949331054,0.09756708145141602
LBNL_DataFDD,MZVAV_1,raw,missing,0.1,test,stratified,CNN-LSTM,0.74504,0.6759012251274694,0.6762315390856395,0.6760656774470708,0.06689119338989258
LBNL_DataFDD,MZVAV_1,raw,missing,0.1,test,stratified,Informer,0.78676,0.7324781720431652,0.7528485558050694,0.7407276927709593,0.44348573684692383
