dataset,building,label_mode,tag,fi_type,model,feature,importance_mean,importance_std,method,manipulation,level,scenario
LBNL_DataFDD,SZCAV,raw,LBNL_DataFDD__SZCAV__RAW,pfi_tab,LinearSVM,AHU: Supply Air Fan Speed Control Signal,0.0006262349197641015,0.0002726281527429819,pfi_tab_metric=balanced_acc_R=2_eval=2000,noise,0.01,noise_1%
LBNL_DataFDD,SZCAV,raw,LBNL_DataFDD__SZCAV__RAW,pfi_tab,LinearSVM,AHU: Outdoor Air Damper Control Signal  ,0.10335332155227661,0.007224027067422867,pfi_tab_metric=balanced_acc_R=2_eval=2000,noise,0.01,noise_1%
LBNL_DataFDD,SZCAV,raw,LBNL_DataFDD__SZCAV__RAW,pfi_tab,LinearSVM,AHU: Return Air Damper Control Signal,0.04633047431707382,0.0067657772451639175,pfi_tab_metric=balanced_acc_R=2_eval=2000,noise,0.01,noise_1%
LBNL_DataFDD,SZCAV,raw,LBNL_DataFDD__SZCAV__RAW,pfi_tab,LinearSVM,AHU: Exhaust Air Damper Control Signal    ,0.030316118150949478,0.0018166257068514824,pfi_tab_metric=balanced_acc_R=2_eval=2000,noise,0.01,noise_1%
LBNL_DataFDD,SZCAV,raw,LBNL_DataFDD__SZCAV__RAW,pfi_tab,LinearSVM,AHU: Cooling Coil Valve Control Signal,0.09148333966732025,0.00011280551552772522,pfi_tab_metric=balanced_acc_R=2_eval=2000,noise,0.01,noise_1%
LBNL_DataFDD,SZCAV,raw,LBNL_DataFDD__SZCAV__RAW,pfi_tab,LinearSVM,AHU: Heating Coil Valve Control Signal,0.14888642728328705,0.0046927183866500854,pfi_tab_metric=balanced_acc_R=2_eval=2000,noise,0.01,noise_1%
LBNL_DataFDD,SZCAV,raw,LBNL_DataFDD__SZCAV__RAW,pfi_tab,LinearSVM,Occupancy Mode Indicator,0.13110828399658203,0.0051543861627578735,pfi_tab_metric=balanced_acc_R=2_eval=2000,noise,0.01,noise_1%
LBNL_DataFDD,SZCAV,raw,LBNL_DataFDD__SZCAV__RAW,pfi_tab,RF,AHU: Supply Air Temperature,0.26674818992614746,0.004395321011543274,pfi_tab_metric=balanced_acc_R=2_eval=2000,noise,0.01,noise_1%
LBNL_DataFDD,SZCAV,raw,LBNL_DataFDD__SZCAV__RAW,pfi_tab,RF,AHU: Supply Air Temperature Heating Set Point,0.11403150856494904,0.0016014911234378815,pfi_tab_metric=balanced_acc_R=2_eval=2000,noise,0.01,noise_1%
LBNL_DataFDD,SZCAV,raw,LBNL_DataFDD__SZCAV__RAW,pfi_tab,RF,AHU: Supply Air Temperature Cooling Set Point,0.019758913666009903,0.0018356675282120705,pfi_tab_metric=balanced_acc_R=2_eval=2000,noise,0.01,noise_1%
LBNL_DataFDD,SZCAV,raw,LBNL_DataFDD__SZCAV__RAW,pfi_tab,RF,AHU: Outdoor Air Temperature,0.5101089477539062,0.006530433893203735,pfi_tab_metric=balanced_acc_R=2_eval=2000,noise,0.01,noise_1%
LBNL_DataFDD,SZCAV,raw,LBNL_DataFDD__SZCAV__RAW,pfi_tab,RF,AHU: Return Air Temperature,0.21133531630039215,0.003534361720085144,pfi_tab_metric=balanced_acc_R=2_eval=2000,noise,0.01,noise_1%
LBNL_DataFDD,SZCAV,raw,LBNL_DataFDD__SZCAV__RAW,pfi_tab,RF,AHU: Supply Air Fan Status,0.0,0.0,pfi_tab_metric=balanced_acc_R=2_eval=2000,noise,0.01,noise_1%
LBNL_DataFDD,SZCAV,raw,LBNL_DataFDD__SZCAV__RAW,pfi_tab,RF,AHU: Supply Air Fan Speed Control Signal,0.0,0.0,pfi_tab_metric=balanced_acc_R=2_eval=2000,noise,0.01,noise_1%
LBNL_DataFDD,SZCAV,raw,LBNL_DataFDD__SZCAV__RAW,pfi_tab,RF,AHU: Outdoor Air Damper Control Signal  ,0.04217105358839035,0.0005106423050165176,pfi_tab_metric=balanced_acc_R=2_eval=2000,noise,0.01,noise_1%
LBNL_DataFDD,SZCAV,raw,LBNL_DataFDD__SZCAV__RAW,pfi_tab,RF,AHU: Return Air Damper Control Signal,0.003933577332645655,2.0973384380340576e-06,pfi_tab_metric=balanced_acc_R=2_eval=2000,noise,0.01,noise_1%
LBNL_DataFDD,SZCAV,raw,LBNL_DataFDD__SZCAV__RAW,pfi_tab,RF,AHU: Exhaust Air Damper Control Signal    ,0.0028008450753986835,0.0005446787690743804,pfi_tab_metric=balanced_acc_R=2_eval=2000,noise,0.01,noise_1%
LBNL_DataFDD,SZCAV,raw,LBNL_DataFDD__SZCAV__RAW,pfi_tab,RF,AHU: Cooling Coil Valve Control Signal,0.0025648875162005424,0.0004841998452320695,pfi_tab_metric=balanced_acc_R=2_eval=2000,noise,0.01,noise_1%
LBNL_DataFDD,SZCAV,raw,LBNL_DataFDD__SZCAV__RAW,pfi_tab,RF,AHU: Heating Coil Valve Control Signal,0.11765658855438232,0.0037915408611297607,pfi_tab_metric=balanced_acc_R=2_eval=2000,noise,0.01,noise_1%
LBNL_DataFDD,SZCAV,raw,LBNL_DataFDD__SZCAV__RAW,pfi_tab,RF,Occupancy Mode Indicator,0.008973199874162674,0.0009508519433438778,pfi_tab_metric=balanced_acc_R=2_eval=2000,noise,0.01,noise_1%
LBNL_DataFDD,SZCAV,raw,LBNL_DataFDD__SZCAV__RAW,pfi_tab,XGBoost,AHU: Supply Air Temperature,0.23943257331848145,0.0036020055413246155,pfi_tab_metric=balanced_acc_R=2_eval=2000,noise,0.01,noise_1%
LBNL_DataFDD,SZCAV,raw,LBNL_DataFDD__SZCAV__RAW,pfi_tab,XGBoost,AHU: Supply Air Temperature Heating Set Point,0.0867413580417633,0.002859104424715042,pfi_tab_metric=balanced_acc_R=2_eval=2000,noise,0.01,noise_1%
LBNL_DataFDD,SZCAV,raw,LBNL_DataFDD__SZCAV__RAW,pfi_tab,XGBoost,AHU: Supply Air Temperature Cooling Set Point,0.08268820494413376,0.003783024847507477,pfi_tab_metric=balanced_acc_R=2_eval=2000,noise,0.01,noise_1%
