source_dataset,building,label_mode,tag,model,manipulation,level,normalized,true_label,pred_label,value
LBNL_DataFDD,RTU,raw,LBNL_DataFDD__RTU__RAW,LinearSVM,clean,0.0,1,HVAC Setback Error: Delayed Onset,Lighting Setback Error: Delayed Onset,0.0
LBNL_DataFDD,RTU,raw,LBNL_DataFDD__RTU__RAW,LinearSVM,clean,0.0,1,HVAC Setback Error: Delayed Onset,Lighting Setback Error: Early Termination,0.0
LBNL_DataFDD,RTU,raw,LBNL_DataFDD__RTU__RAW,LinearSVM,clean,0.0,1,HVAC Setback Error: Delayed Onset,No Overnight HVAC Setback,0.0
LBNL_DataFDD,RTU,raw,LBNL_DataFDD__RTU__RAW,LinearSVM,clean,0.0,1,HVAC Setback Error: Delayed Onset,No Overnight Lighting Setback,0.0
LBNL_DataFDD,RTU,raw,LBNL_DataFDD__RTU__RAW,LinearSVM,clean,0.0,1,HVAC Setback Error: Delayed Onset,Normal,0.0
LBNL_DataFDD,RTU,raw,LBNL_DataFDD__RTU__RAW,LinearSVM,clean,0.0,1,HVAC Setback Error: Delayed Onset,Thermostat measurement bias,0.0
LBNL_DataFDD,RTU,raw,LBNL_DataFDD__RTU__RAW,LinearSVM,clean,0.0,1,HVAC Setback Error: Early Termination,Condenser Fouling,0.0
LBNL_DataFDD,RTU,raw,LBNL_DataFDD__RTU__RAW,LinearSVM,clean,0.0,1,HVAC Setback Error: Early Termination,Excessive infiltration,0.0
LBNL_DataFDD,RTU,raw,LBNL_DataFDD__RTU__RAW,LinearSVM,clean,0.0,1,HVAC Setback Error: Early Termination,HVAC Setback Error: Delayed Onset,0.0
LBNL_DataFDD,RTU,raw,LBNL_DataFDD__RTU__RAW,LinearSVM,clean,0.0,1,HVAC Setback Error: Early Termination,HVAC Setback Error: Early Termination,0.0
LBNL_DataFDD,RTU,raw,LBNL_DataFDD__RTU__RAW,LinearSVM,clean,0.0,1,HVAC Setback Error: Early Termination,Lighting Setback Error: Delayed Onset,0.0
LBNL_DataFDD,RTU,raw,LBNL_DataFDD__RTU__RAW,LinearSVM,clean,0.0,1,HVAC Setback Error: Early Termination,Lighting Setback Error: Early Termination,0.0
LBNL_DataFDD,RTU,raw,LBNL_DataFDD__RTU__RAW,LinearSVM,clean,0.0,1,HVAC Setback Error: Early Termination,No Overnight HVAC Setback,0.0
LBNL_DataFDD,RTU,raw,LBNL_DataFDD__RTU__RAW,LinearSVM,clean,0.0,1,HVAC Setback Error: Early Termination,No Overnight Lighting Setback,0.0
LBNL_DataFDD,RTU,raw,LBNL_DataFDD__RTU__RAW,LinearSVM,clean,0.0,1,HVAC Setback Error: Early Termination,Normal,0.0
LBNL_DataFDD,RTU,raw,LBNL_DataFDD__RTU__RAW,LinearSVM,clean,0.0,1,HVAC Setback Error: Early Termination,Thermostat measurement bias,0.0
