source_dataset,building,label_mode,split_mode,corrupt_where,model,manipulation,level,accuracy,macro_precision,macro_recall,macro_f1,runtime_s,n_classes,train_rows,val_rows,test_rows,scored_rows,n_test_classes_missing_in_train,missing_test_classes_in_train
LBNL_DataFDD,RTU,raw,episode_blocked_time,test,RF,bias,0.1,0.0,0.0,0.0,0.0,0.13746857643127441,10,23040,2881,4319,4319,3,Lighting Setback Error: Delayed Onset; Lighting Setback Error: Early Termination; No Overnight Lighting Setback
LBNL_DataFDD,RTU,raw,episode_blocked_time,test,XGBoost,bias,0.1,0.0,0.0,0.0,0.0,0.08106160163879395,10,23040,2881,4319,4319,3,Lighting Setback Error: Delayed Onset; Lighting Setback Error: Early Termination; No Overnight Lighting Setback
LBNL_DataFDD,RTU,raw,episode_blocked_time,test,LSTM,bias,0.1,0.0,0.0,0.0,0.0,0.019370317459106445,10,23040,2881,4319,4319,3,Lighting Setback Error: Delayed Onset; Lighting Setback Error: Early Termination; No Overnight Lighting Setback
LBNL_DataFDD,RTU,raw,episode_blocked_time,test,CNN-LSTM,bias,0.1,0.0,0.0,0.0,0.0,0.012436866760253906,10,23040,2881,4319,4319,3,Lighting Setback Error: Delayed Onset; Lighting Setback Error: Early Termination; No Overnight Lighting Setback
LBNL_DataFDD,RTU,raw,episode_blocked_time,test,Informer,bias,0.1,0.0,0.0,0.0,0.0,0.05597543716430664,10,23040,2881,4319,4319,3,Lighting Setback Error: Delayed Onset; Lighting Setback Error: Early Termination; No Overnight Lighting Setback
LBNL_DataFDD,RTU,raw,episode_blocked_time,test,LinearSVM,missing,0.05,0.0,0.0,0.0,0.0,0.0006203651428222656,10,23040,2881,4319,4319,3,Lighting Setback Error: Delayed Onset; Lighting Setback Error: Early Termination; No Overnight Lighting Setback
LBNL_DataFDD,RTU,raw,episode_blocked_time,test,RF,missing,0.05,0.0,0.0,0.0,0.0,0.14830923080444336,10,23040,2881,4319,4319,3,Lighting Setback Error: Delayed Onset; Lighting Setback Error: Early Termination; No Overnight Lighting Setback
LBNL_DataFDD,RTU,raw,episode_blocked_time,test,XGBoost,missing,0.05,0.0,0.0,0.0,0.0,0.0774528980255127,10,23040,2881,4319,4319,3,Lighting Setback Error: Delayed Onset; Lighting Setback Error: Early Termination; No Overnight Lighting Setback
LBNL_DataFDD,RTU,raw,episode_blocked_time,test,LSTM,missing,0.05,0.0,0.0,0.0,0.0,0.01914215087890625,10,23040,2881,4319,4319,3,Lighting Setback Error: Delayed Onset; Lighting Setback Error: Early Termination; No Overnight Lighting Setback
LBNL_DataFDD,RTU,raw,episode_blocked_time,test,CNN-LSTM,missing,0.05,0.0,0.0,0.0,0.0,0.011481761932373047,10,23040,2881,4319,4319,3,Lighting Setback Error: Delayed Onset; Lighting Setback Error: Early Termination; No Overnight Lighting Setback
LBNL_DataFDD,RTU,raw,episode_blocked_time,test,Informer,missing,0.05,0.0,0.0,0.0,0.0,0.05505633354187012,10,23040,2881,4319,4319,3,Lighting Setback Error: Delayed Onset; Lighting Setback Error: Early Termination; No Overnight Lighting Setback
LBNL_DataFDD,RTU,raw,episode_blocked_time,test,LinearSVM,missing,0.1,0.0,0.0,0.0,0.0,0.0005183219909667969,10,23040,2881,4319,4319,3,Lighting Setback Error: Delayed Onset; Lighting Setback Error: Early Termination; No Overnight Lighting Setback
LBNL_DataFDD,RTU,raw,episode_blocked_time,test,RF,missing,0.1,0.0,0.0,0.0,0.0,0.13861680030822754,10,23040,2881,4319,4319,3,Lighting Setback Error: Delayed Onset; Lighting Setback Error: Early Termination; No Overnight Lighting Setback
LBNL_DataFDD,RTU,raw,episode_blocked_time,test,XGBoost,missing,0.1,0.0,0.0,0.0,0.0,0.0719304084777832,10,23040,2881,4319,4319,3,Lighting Setback Error: Delayed Onset; Lighting Setback Error: Early Termination; No Overnight Lighting Setback
LBNL_DataFDD,RTU,raw,episode_blocked_time,test,LSTM,missing,0.1,0.0,0.0,0.0,0.0,0.018982410430908203,10,23040,2881,4319,4319,3,Lighting Setback Error: Delayed Onset; Lighting Setback Error: Early Termination; No Overnight Lighting Setback
LBNL_DataFDD,RTU,raw,episode_blocked_time,test,CNN-LSTM,missing,0.1,0.0,0.0,0.0,0.0,0.011346578598022461,10,23040,2881,4319,4319,3,Lighting Setback Error: Delayed Onset; Lighting Setback Error: Early Termination; No Overnight Lighting Setback
LBNL_DataFDD,RTU,raw,episode_blocked_time,test,Informer,missing,0.1,0.0,0.0,0.0,0.0,0.05499696731567383,10,23040,2881,4319,4319,3,Lighting Setback Error: Delayed Onset; Lighting Setback Error: Early Termination; No Overnight Lighting Setback
LBNL_DataFDD,RTU,raw,episode_blocked_time,test,LinearSVM,missing,0.2,0.0,0.0,0.0,0.0,0.0005638599395751953,10,23040,2881,4319,4319,3,Lighting Setback Error: Delayed Onset; Lighting Setback Error: Early Termination; No Overnight Lighting Setback
LBNL_DataFDD,RTU,raw,episode_blocked_time,test,RF,missing,0.2,0.0,0.0,0.0,0.0,0.13871097564697266,10,23040,2881,4319,4319,3,Lighting Setback Error: Delayed Onset; Lighting Setback Error: Early Termination; No Overnight Lighting Setback
LBNL_DataFDD,RTU,raw,episode_blocked_time,test,XGBoost,missing,0.2,0.0,0.0,0.0,0.0,0.07421588897705078,10,23040,2881,4319,4319,3,Lighting Setback Error: Delayed Onset; Lighting Setback Error: Early Termination; No Overnight Lighting Setback
LBNL_DataFDD,RTU,raw,episode_blocked_time,test,LSTM,missing,0.2,0.0,0.0,0.0,0.0,0.01920342445373535,10,23040,2881,4319,4319,3,Lighting Setback Error: Delayed Onset; Lighting Setback Error: Early Termination; No Overnight Lighting Setback
LBNL_DataFDD,RTU,raw,episode_blocked_time,test,CNN-LSTM,missing,0.2,0.0,0.0,0.0,0.0,0.012657403945922852,10,23040,2881,4319,4319,3,Lighting Setback Error: Delayed Onset; Lighting Setback Error: Early Termination; No Overnight Lighting Setback
LBNL_DataFDD,RTU,raw,episode_blocked_time,test,Informer,missing,0.2,0.0,0.0,0.0,0.0,0.055602073669433594,10,23040,2881,4319,4319,3,Lighting Setback Error: Delayed Onset; Lighting Setback Error: Early Termination; No Overnight Lighting Setback
LBNL_DataFDD,RTU,raw,episode_blocked_time,test,LinearSVM,sampling,2.0,0.0,0.0,0.0,0.0,0.00045609474182128906,10,23040,2881,2160,2160,3,Lighting Setback Error: Delayed Onset; Lighting Setback Error: Early Termination; No Overnight Lighting Setback
LBNL_DataFDD,RTU,raw,episode_blocked_time,test,RF,sampling,2.0,0.0,0.0,0.0,0.0,0.1378157138824463,10,23040,2881,2160,2160,3,Lighting Setback Error: Delayed Onset; Lighting Setback Error: Early Termination; No Overnight Lighting Setback
LBNL_DataFDD,RTU,raw,episode_blocked_time,test,XGBoost,sampling,2.0,0.0,0.0,0.0,0.0,0.03759908676147461,10,23040,2881,2160,2160,3,Lighting Setback Error: Delayed Onset; Lighting Setback Error: Early Termination; No Overnight Lighting Setback
LBNL_DataFDD,RTU,raw,episode_blocked_time,test,LSTM,sampling,2.0,0.0,0.0,0.0,0.0,0.010320663452148438,10,23040,2881,2160,2160,3,Lighting Setback Error: Delayed Onset; Lighting Setback Error: Early Termination; No Overnight Lighting Setback
LBNL_DataFDD,RTU,raw,episode_blocked_time,test,CNN-LSTM,sampling,2.0,0.0,0.0,0.0,0.0,0.007109403610229492,10,23040,2881,2160,2160,3,Lighting Setback Error: Delayed Onset; Lighting Setback Error: Early Termination; No Overnight Lighting Setback
LBNL_DataFDD,RTU,raw,episode_blocked_time,test,Informer,sampling,2.0,0.0,0.0,0.0,0.0,0.02819228172302246,10,23040,2881,2160,2160,3,Lighting Setback Error: Delayed Onset; Lighting Setback Error: Early Termination; No Overnight Lighting Setback
LBNL_DataFDD,RTU,raw,episode_blocked_time,test,LinearSVM,sampling,5.0,0.0,0.0,0.0,0.0,0.0002875328063964844,10,23040,2881,864,864,3,Lighting Setback Error: Delayed Onset; Lighting Setback Error: Early Termination; No Overnight Lighting Setback
LBNL_DataFDD,RTU,raw,episode_blocked_time,test,RF,sampling,5.0,0.0,0.0,0.0,0.0,0.12592625617980957,10,23040,2881,864,864,3,Lighting Setback Error: Delayed Onset; Lighting Setback Error: Early Termination; No Overnight Lighting Setback
LBNL_DataFDD,RTU,raw,episode_blocked_time,test,XGBoost,sampling,5.0,0.0,0.0,0.0,0.0,0.02005290985107422,10,23040,2881,864,864,3,Lighting Setback Error: Delayed Onset; Lighting Setback Error: Early Termination; No Overnight Lighting Setback
LBNL_DataFDD,RTU,raw,episode_blocked_time,test,LSTM,sampling,5.0,0.0,0.0,0.0,0.0,0.00432276725769043,10,23040,2881,864,864,3,Lighting Setback Error: Delayed Onset; Lighting Setback Error: Early Termination; No Overnight Lighting Setback
LBNL_DataFDD,RTU,raw,episode_blocked_time,test,CNN-LSTM,sampling,5.0,0.0,0.0,0.0,0.0,0.0036776065826416016,10,23040,2881,864,864,3,Lighting Setback Error: Delayed Onset; Lighting Setback Error: Early Termination; No Overnight Lighting Setback
LBNL_DataFDD,RTU,raw,episode_blocked_time,test,Informer,sampling,5.0,0.0,0.0,0.0,0.0,0.011506319046020508,10,23040,2881,864,864,3,Lighting Setback Error: Delayed Onset; Lighting Setback Error: Early Termination; No Overnight Lighting Setback
LBNL_DataFDD,RTU,raw,episode_blocked_time,test,LinearSVM,sampling,10.0,0.0,0.0,0.0,0.0,0.00019860267639160156,10,23040,2881,432,432,3,Lighting Setback Error: Delayed Onset; Lighting Setback Error: Early Termination; No Overnight Lighting Setback
LBNL_DataFDD,RTU,raw,episode_blocked_time,test,RF,sampling,10.0,0.0,0.0,0.0,0.0,0.1174321174621582,10,23040,2881,432,432,3,Lighting Setback Error: Delayed Onset; Lighting Setback Error: Early Termination; No Overnight Lighting Setback
